Project:,2025-06_STG,,,,,,,,,,
,,,,,,,,,,,
Test:,2025-06-12_20wt%_gelatin_bovine_frequency_sweep,,,,,,,,,,
,,,,,,,,,,,
Result:,Frequency sweep 1,,,,,,,,,,
,,,,,,,,,,,
Interval and data points:,1,41,,,,,,,,,
Interval data:,Point No.,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque,Phase Shift Angle,Viscosity,Shear Rate
,,,,,,,,,,,
,,[rad/s],[Pa],[Pa],[1],[%],[Pa],[mN·m],[°],[mPa·s],[1/s]
,1,0.01,4171.6,57.651,0.014,0.2,8.3615,0.03835,0.79,,
,2,0.0126,3844.3,66.444,0.017,0.777,29.882,0.13705,0.99,,
,3,0.0158,3675.8,114.62,0.031,0.969,35.635,0.16344,1.79,,
,4,0.02,3565.1,192.6,0.054,0.996,35.565,0.16312,3.09,,
,5,0.0251,3507,289.3,0.082,0.999,35.149,0.16121,4.72,,
,6,0.0316,3511.4,391.19,0.111,0.999,35.295,0.16188,6.36,,
,7,0.0398,3610.9,471.73,0.131,0.999,36.398,0.16694,7.44,,
,8,0.0501,3802,390.87,0.103,1,38.214,0.17527,5.87,,
,9,0.0631,3768,93.835,0.025,1,37.686,0.17285,1.43,,
,10,0.0794,3481.2,117.83,0.034,1,34.829,0.15974,1.94,,
,11,0.1,3587,302.87,0.084,1,35.995,0.16509,4.83,,
,12,0.126,3621.2,81.866,0.023,1,36.219,0.16612,1.3,,
,13,0.158,3541.9,202.65,0.057,1,35.475,0.1627,3.27,,
,14,0.2,3515.6,120.46,0.034,1,35.174,0.16133,1.96,,
,15,0.251,3540,117.66,0.033,1,35.417,0.16244,1.9,,
,16,0.316,3519.3,124.25,0.035,1,35.212,0.1615,2.02,,
,17,0.398,3495.7,128,0.037,1,34.978,0.16043,2.1,,
,18,0.501,3491.3,131.53,0.038,1,34.935,0.16023,2.16,,
,19,0.631,3485.2,129.7,0.037,1,34.874,0.15995,2.13,,
,20,0.794,3478.5,131.32,0.038,1,34.808,0.15965,2.16,,
,21,1,3476.2,133.5,0.038,1,34.785,0.15954,2.2,,
,22,1.26,3472.7,137.11,0.039,1,34.752,0.15939,2.26,,
,23,1.58,3472.1,141.44,0.041,1,34.748,0.15937,2.33,,
,24,2,3474.6,147.38,0.042,1,34.776,0.1595,2.43,,
,25,2.51,3479.8,153.92,0.044,1,34.83,0.15975,2.53,,
,26,3.16,3484.1,161.44,0.046,1,34.877,0.15996,2.65,,
,27,3.98,3490.1,170.05,0.049,1,34.941,0.16026,2.79,,
,28,5.01,3497.9,180.07,0.051,1,35.024,0.16064,2.95,,
,29,6.31,3509.3,191.42,0.055,1,35.143,0.16118,3.12,,
,30,7.94,3523.3,204.19,0.058,1,35.29,0.16186,3.32,,
,31,10,3538.3,218.35,0.062,1,35.45,0.16259,3.53,,
,32,12.6,3558,234.3,0.066,1,35.658,0.16354,3.77,,
,33,15.8,3578.5,251.56,0.07,1,35.876,0.16454,4.02,,
,34,20,3602.5,270.78,0.075,1,36.133,0.16573,4.3,,
,35,25.1,3630.2,292.81,0.081,1,36.435,0.16711,4.61,,
,36,31.6,3662.3,316.93,0.087,1,36.796,0.16876,4.95,,
,37,39.8,3699.1,343.36,0.093,1,37.23,0.17076,5.3,,
,38,50.1,3737.4,372.26,0.1,1.01,37.756,0.17317,5.69,,
,39,63.1,3776.8,408.27,0.108,1,38.051,0.17452,6.17,,
