           Test time,     Standard travel,     Tool separation,      Standard force
                 0.0,                 0.0,  2.554554444548e+01, -1.303427573293e-02
                 0.0,                 0.0,  2.554554687809e+01, -1.295369025320e-02
                 0.0,                 0.0,  2.554555373226e+01, -1.333213876933e-02
                 0.0,                 0.0,  2.554556250159e+01, -1.268083881587e-02
                 0.0,                 0.0,  2.554556490999e+01, -1.273829769343e-02
                 0.0,                 0.0,  2.554556309436e+01, -1.287144795060e-02
  0.000000000000e+00,  0.000000000000e+00,  2.554555779327e+01, -1.323503628373e-02
  8.000001311302e-03, -9.451992809772e-06,  2.554556724526e+01, -1.322807744145e-02
  1.100000739098e-02, -7.514841854572e-06,  2.554556530811e+01, -1.319505646825e-02
  1.300001144409e-02, -1.072976738214e-05,  2.554556852304e+01, -1.310481503606e-02
  1.400001347065e-02, -1.098494976759e-05,  2.554556877822e+01, -1.301946118474e-02
  1.145000010729e-01, -1.568885636516e-05,  2.554557348213e+01, -1.062934380025e-02
  2.145000100136e-01, -1.151929245680e-05,  2.554556931256e+01, -1.427824702114e-02
  3.150000125170e-01, -1.066473032552e-06,  2.554555885974e+01, -1.307661831379e-02
  4.155000001192e-01,  3.494464326650e-03,  2.554206332895e+01, -1.285468973219e-02
  4.520000070333e-01,  1.351589336991e-02,  2.553204189990e+01, -2.182416617870e-03
  4.680000096560e-01,  2.366012707353e-02,  2.552189766620e+01,  9.951896965504e-03
  4.775000065565e-01,  3.372902050614e-02,  2.551182877277e+01,  1.860130578279e-02
  4.849999994040e-01,  4.409736767411e-02,  2.550146042560e+01,  8.011706173420e-03
  4.915000051260e-01,  5.417961254716e-02,  2.549137818072e+01,  2.690203487873e-03
  4.980000108480e-01,  6.492561101913e-02,  2.548063218225e+01, -3.785245120525e-03
  5.040000081062e-01,  7.512611150742e-02,  2.547043168176e+01, -7.399670779705e-03
  5.100000053644e-01,  8.538764715195e-02,  2.546017014612e+01, -1.326095312834e-02
  5.165000110865e-01,  9.614127874374e-02,  2.544941651453e+01, -1.622401922941e-02
  5.230000019073e-01,  1.063532233238e-01,  2.543920456995e+01, -2.406632155180e-02
  5.305000096560e-01,  1.169962286949e-01,  2.542856156458e+01, -2.033936232328e-02
  5.385000109673e-01,  1.274217963219e-01,  2.541813599695e+01, -1.289116591215e-02
  5.465000122786e-01,  1.375116705894e-01,  2.540804612268e+01, -8.201949298382e-03
  5.545000135899e-01,  1.476053595543e-01,  2.539795243372e+01, -5.038611590862e-03
  5.625000000000e-01,  1.578935980797e-01,  2.538766419519e+01, -2.989165484905e-03
  5.705000013113e-01,  1.685556769371e-01,  2.537700211633e+01, -3.558449447155e-03
  5.780000090599e-01,  1.787790656090e-01,  2.536677872766e+01, -6.331734359264e-03
  5.855000019073e-01,  1.889871954918e-01,  2.535657059778e+01, -9.550385177135e-03
  5.935000032187e-01,  1.994737982750e-01,  2.534608399500e+01, -1.224117726088e-02
  6.020000129938e-01,  2.098078131676e-01,  2.533574998010e+01, -1.522140949965e-02
  6.115000098944e-01,  2.201380133629e-01,  2.532541977991e+01, -1.712589710951e-02
  6.225000023842e-01,  2.303099036217e-01,  2.531524788965e+01, -1.396959275007e-02
  6.350000053644e-01,  2.403787970543e-01,  2.530517899622e+01, -4.553012549877e-03
  6.469999998808e-01,  2.504858374596e-01,  2.529507195581e+01,  2.573080360889e-03
  6.580000072718e-01,  2.609381079674e-01,  2.528461968530e+01,  1.542165759020e-03
  6.680000126362e-01,  2.711576819420e-01,  2.527440011133e+01,  7.172673358582e-04
  6.775000095367e-01,  2.811903357506e-01,  2.526436745752e+01, -2.014055848122e-03
  6.875000000000e-01,  2.916387915611e-01,  2.525391900171e+01, -3.853073343635e-03
  6.975000053644e-01,  3.017897009850e-01,  2.524376809229e+01, -2.775160595775e-03
  7.080000042915e-01,  3.120283484459e-01,  2.523352944483e+01,  6.609279662371e-04
  7.185000032187e-01,  3.220304846764e-01,  2.522352730860e+01,  1.642437651753e-03
  7.295000106096e-01,  3.324217200279e-01,  2.521313607324e+01,  3.311010077596e-03
  7.405000030994e-01,  3.427519202232e-01,  2.520280587305e+01,  2.650180831552e-03
  7.515000104904e-01,  3.529028296471e-01,  2.519265496362e+01,  2.749601379037e-03
  7.625000029802e-01,  3.630422949791e-01,  2.518251549829e+01,  5.243750289083e-03
  7.730000019073e-01,  3.730615973473e-01,  2.517249619592e+01,  1.118037290871e-02
  7.830000072718e-01,  3.834604620934e-01,  2.516209733118e+01,  1.281377859414e-02
  7.920000106096e-01,  3.935350775719e-01,  2.515202271570e+01,  1.134045608342e-02
  8.009999990463e-01,  4.039720892906e-01,  2.514158570398e+01,  1.007832773030e-02
  8.100000023842e-01,  4.142984747887e-01,  2.513125931848e+01,  7.470505312085e-03
  8.194999992847e-01,  4.246706366539e-01,  2.512088715662e+01,  4.778282716870e-03
  8.295000046492e-01,  4.346804022789e-01,  2.511087739099e+01,  5.336346104741e-03
  8.405000120401e-01,  4.448103308678e-01,  2.510074746240e+01,  1.136452145875e-02
  8.515000045300e-01,  4.549230933189e-01,  2.509063469995e+01,  1.619297452271e-02
  8.620000034571e-01,  4.651274085045e-01,  2.508043038477e+01,  1.741400547326e-02
  8.720000088215e-01,  4.752630591393e-01,  2.507029473413e+01,  1.718232221901e-02
  8.819999992847e-01,  4.855169653893e-01,  2.506004082788e+01,  1.630994863808e-02
  8.920000046492e-01,  4.956259131432e-01,  2.504993188013e+01,  1.596991531551e-02
  9.025000035763e-01,  5.058931708336e-01,  2.503966462244e+01,  1.789878122509e-02
  9.130000025034e-01,  5.159906744957e-01,  2.502956711878e+01,  2.122662775218e-02
  9.235000014305e-01,  5.262560248375e-01,  2.501930176843e+01,  2.461121790111e-02
  9.335000067949e-01,  5.363216400146e-01,  2.500923615326e+01,  2.601176500320e-02
  9.435000121593e-01,  5.465259552002e-01,  2.499903183807e+01,  2.619905769825e-02
  9.535000026226e-01,  5.566959381104e-01,  2.498886185516e+01,  2.669449150562e-02
  9.635000079870e-01,  5.667552947998e-01,  2.497880249847e+01,  2.726416289806e-02
  9.740000069141e-01,  5.771503448486e-01,  2.496840744842e+01,  2.735460549593e-02
  9.845000058413e-01,  5.873908996582e-01,  2.495816689361e+01,  2.827657014132e-02
  9.950000047684e-01,  5.976924896240e-01,  2.494786530365e+01,  3.129900246859e-02
  1.005000010133e+00,  6.076946258545e-01,  2.493786316742e+01,  3.276253491640e-02
  1.015000000596e+00,  6.177883148193e-01,  2.492776947845e+01,  3.368140012026e-02
  1.025000005960e+00,  6.279544830322e-01,  2.491760331024e+01,  3.505870699883e-02
  1.035000011325e+00,  6.381855010986e-01,  2.490737229217e+01,  3.528895974159e-02
  1.045000001788e+00,  6.482906341553e-01,  2.489726715912e+01,  3.447052836418e-02
  1.055500000715e+00,  6.587123870850e-01,  2.488684540619e+01,  3.661462664604e-02
  1.065999999642e+00,  6.690959930420e-01,  2.487646180023e+01,  3.840014338493e-02
  1.076500013471e+00,  6.794681549072e-01,  2.486608963836e+01,  3.971368074417e-02
  1.087000012398e+00,  6.898365020752e-01,  2.485572129120e+01,  4.117430746555e-02
  1.097500011325e+00,  7.003002166748e-01,  2.484525757660e+01,  4.198522865772e-02
  1.107500001788e+00,  7.103443145752e-01,  2.483521347870e+01,  4.304586350918e-02
  1.118000000715e+00,  7.208156585693e-01,  2.482474213470e+01,  4.359672218561e-02
  1.128499999642e+00,  7.311458587646e-01,  2.481441193451e+01,  4.548714309931e-02
  1.139000013471e+00,  7.413272857666e-01,  2.480423050751e+01,  4.800484329462e-02
  1.149500012398e+00,  7.515335083008e-01,  2.479402428497e+01,  5.029390007257e-02
  1.160000011325e+00,  7.618579864502e-01,  2.478369980682e+01,  5.146143585443e-02
  1.170500010252e+00,  7.723445892334e-01,  2.477321320404e+01,  5.300305038691e-02
  1.180500000715e+00,  7.824718356133e-01,  2.476308595766e+01,  5.270233750343e-02
  1.190500006080e+00,  7.926036715508e-01,  2.475295412172e+01,  5.393949151039e-02
  1.201000005007e+00,  8.030940890312e-01,  2.474246370424e+01,  5.486790835857e-02
  1.211500003934e+00,  8.134261965752e-01,  2.473213159670e+01,  5.696730315685e-02
  1.222000002861e+00,  8.236667513847e-01,  2.472189104189e+01,  5.881075561047e-02
  1.232500001788e+00,  8.338729739189e-01,  2.471168481935e+01,  6.237749755383e-02
  1.243000000715e+00,  8.442565798759e-01,  2.470130121340e+01,  6.252352893353e-02
  1.253000006080e+00,  8.543388247490e-01,  2.469121896852e+01,  6.419999897480e-02
  1.263000011444e+00,  8.645278811455e-01,  2.468102991213e+01,  6.447528302670e-02
  1.273000001907e+00,  8.747588992119e-01,  2.467079889406e+01,  6.577394902706e-02
  1.283000007272e+00,  8.849365115166e-01,  2.466062128176e+01,  6.554882228374e-02
  1.293500006199e+00,  8.954040408134e-01,  2.465015375246e+01,  6.606488674879e-02
  1.304000005126e+00,  9.056655764580e-01,  2.463989221681e+01,  6.777697056532e-02
  1.314500004053e+00,  9.158794283867e-01,  2.462967836489e+01,  7.137947529554e-02
  1.325000002980e+00,  9.262706637383e-01,  2.461928712953e+01,  7.348161190748e-02
  1.335000008345e+00,  9.364978671074e-01,  2.460905992616e+01,  7.440637797117e-02
  1.344999998808e+00,  9.469081759453e-01,  2.459864961733e+01,  7.502763718367e-02
  1.355000004172e+00,  9.572002291679e-01,  2.458835756410e+01,  7.446604222059e-02
  1.365500003099e+00,  9.675151705742e-01,  2.457804262270e+01,  7.244258373976e-02
  1.377000004053e+00,  9.775478243828e-01,  2.456800996889e+01,  7.160943001509e-02
  1.392000004649e+00,  9.877254366875e-01,  2.455783235658e+01,  7.352041453123e-02
  1.417000010610e+00,  9.973842501640e-01,  2.454817354311e+01,  7.805326581001e-02
  1.517500013113e+00,  1.003090262413e+00,  2.454246753086e+01,  8.044327050447e-02
  1.618000000715e+00,  1.002662539482e+00,  2.454289525379e+01,  7.937008887529e-02
  1.718000009656e+00,  1.001832246780e+00,  2.454372554649e+01,  7.981301099062e-02
  1.818500012159e+00,  1.001291036606e+00,  2.454426675667e+01,  7.956432551146e-02
  1.918999999762e+00,  1.000905871391e+00,  2.454465192188e+01,  8.039087057114e-02
  2.019000008702e+00,  1.000614523888e+00,  2.454494326938e+01,  7.829172909260e-02
  2.119500011206e+00,  1.000433921814e+00,  2.454512387146e+01,  7.995951175690e-02
  2.219999998808e+00,  1.000283598900e+00,  2.454527419437e+01,  7.793244719505e-02
  2.320000007749e+00,  1.000154614449e+00,  2.454540317882e+01,  7.861488312483e-02
  2.420500010252e+00,  1.000105261803e+00,  2.454545253147e+01,  7.855087518692e-02
  2.521000012755e+00,  1.000065207481e+00,  2.454549258579e+01,  8.054958283901e-02
  2.621500000358e+00,  1.000029921532e+00,  2.454552787174e+01,  7.988860458136e-02
  2.721500009298e+00,  1.000036954880e+00,  2.454552083839e+01,  7.694993913174e-02
  2.822000011802e+00,  1.000028133392e+00,  2.454552965988e+01,  7.804346084595e-02
  2.922499999404e+00,  1.000005483627e+00,  2.454555230964e+01,  7.861348986626e-02
  3.022500008345e+00,  1.000013232231e+00,  2.454554456104e+01,  7.736553251743e-02
  3.123000010848e+00,  1.000011086464e+00,  2.454554670681e+01,  7.829874753952e-02
  3.223500013351e+00,  9.999979734421e-01,  2.454555981983e+01,  7.660310715437e-02
  3.324000000954e+00,  1.000014305115e+00,  2.454554348816e+01,  7.765421271324e-02
  3.424000009894e+00,  9.999956488609e-01,  2.454556214441e+01,  7.858947664499e-02
  3.524500012398e+00,  9.999862909317e-01,  2.454557150234e+01,  7.999593764544e-02
  3.625000000000e+00,  9.999836087227e-01,  2.454557418455e+01,  8.032730966806e-02
  3.725000008941e+00,  1.000010967255e+00,  2.454554682602e+01,  7.923394441605e-02
  3.825500011444e+00,  1.000046968460e+00,  2.454551082481e+01,  7.920558750629e-02
  3.925999999046e+00,  1.000025749207e+00,  2.454553204407e+01,  7.878221571445e-02
  4.026000007987e+00,  1.000006437302e+00,  2.454555135597e+01,  7.598794251680e-02
  4.126500010490e+00,  9.999991655350e-01,  2.454555862774e+01,  7.778805494308e-02
  4.227000012994e+00,  1.000002264977e+00,  2.454555552830e+01,  7.740376889706e-02
  4.327500000596e+00,  1.000023365021e+00,  2.454553442825e+01,  7.648366689682e-02
  4.427500009537e+00,  9.999964833260e-01,  2.454556130995e+01,  7.831591367722e-02
  4.528000012040e+00,  1.000037074089e+00,  2.454552071918e+01,  7.645403593779e-02
  4.628499999642e+00,  1.000022411346e+00,  2.454553538193e+01,  7.742814719677e-02
  4.728500008583e+00,  1.000007629395e+00,  2.454555016388e+01,  7.783695310354e-02
  4.829000011086e+00,  1.000020265579e+00,  2.454553752769e+01,  7.571393251419e-02
  4.929500013590e+00,  1.000011086464e+00,  2.454554670681e+01,  7.707538455725e-02
  5.030000001192e+00,  1.000010371208e+00,  2.454554742206e+01,  7.504349946976e-02
  5.130000010133e+00,  9.999939203262e-01,  2.454556387295e+01,  7.602746039629e-02
  5.230500012636e+00,  9.999982118607e-01,  2.454555958141e+01,  7.748405635357e-02
  5.331000000238e+00,  1.000038266182e+00,  2.454551952709e+01,  7.837814092636e-02
  5.431000009179e+00,  9.999999403954e-01,  2.454555785288e+01,  7.579807937145e-02
  5.531500011683e+00,  9.999999403954e-01,  2.454555785288e+01,  7.675222307444e-02
  5.631999999285e+00,  9.999958276749e-01,  2.454556196560e+01,  7.637491077185e-02
  5.732000008225e+00,  1.000001430511e+00,  2.454555636276e+01,  7.632861286402e-02
  5.832500010729e+00,  1.000013828278e+00,  2.454554396499e+01,  7.558392733335e-02
  5.933000013232e+00,  9.999908208847e-01,  2.454556697239e+01,  7.580069452524e-02
  6.033000007272e+00,  9.999920129776e-01,  2.454556578029e+01,  7.837173342705e-02
  6.133000001311e+00,  1.000000000000e+00,  2.454555779327e+01,  7.444857060909e-02
  6.233000010252e+00,  9.999930858612e-01,  2.454556470741e+01,  7.650771737099e-02
  6.333000004292e+00,  1.000005006790e+00,  2.454555278648e+01,  7.552640140057e-02
  6.433000013232e+00,  9.999720454216e-01,  2.454558574785e+01,  7.635124772787e-02
  6.533000007272e+00,  1.000030040741e+00,  2.454552775253e+01,  7.458425313234e-02
  6.633000001311e+00,  1.000008702278e+00,  2.454554909099e+01,  7.732443511486e-02
  6.733000010252e+00,  1.000004768372e+00,  2.454555302490e+01,  7.504176348448e-02
  6.833000004292e+00,  9.999986886978e-01,  2.454555910457e+01,  7.596443593502e-02
  6.933000013232e+00,  1.000028729439e+00,  2.454552906383e+01,  7.588101923466e-02
  7.033000007272e+00,  1.000028133392e+00,  2.454552965988e+01,  7.511460036039e-02
  7.133000001311e+00,  1.000001788139e+00,  2.454555600513e+01,  7.562288641930e-02
