           Test time,     Standard travel,     Tool separation,      Standard force
                 0.0,                 0.0,  4.498175104498e+01,  4.404972307384e-03
                 0.0,                 0.0,  4.498175138025e+01,  4.365037195385e-03
                 0.0,                 0.0,  4.498175058444e+01,  4.816840402782e-03
                 0.0,                 0.0,  4.498174711806e+01,  4.788885824382e-03
                 0.0,                 0.0,  4.498174718604e+01,  4.675636999309e-03
                 0.0,                 0.0,  4.498176274770e+01,  5.054098553956e-03
  0.000000000000e+00,  0.000000000000e+00,  4.498176174653e+01,  5.104106850922e-03
  8.000001311302e-03,  2.248445525765e-06,  4.498175949809e+01,  4.567912314087e-03
  1.099999248981e-02,  9.501818567514e-07,  4.498176079635e+01,  4.416218493134e-03
  1.299999654293e-02, -6.485497578979e-06,  4.498176823203e+01,  4.351189825684e-03
  1.399999856949e-02, -7.401918992400e-06,  4.498176914845e+01,  4.304936621338e-03
  1.145000010729e-01,  1.592664193595e-05,  4.498174581989e+01,  4.428912419826e-03
  2.150000035763e-01, -2.300682535861e-05,  4.498178475336e+01,  6.013719365001e-03
  3.154999911785e-01, -2.369304093008e-05,  4.498178543957e+01,  3.538351971656e-03
  4.114999920130e-01,  1.053825579584e-02,  4.497122349073e+01,  1.100589260459e-01
  4.165000021458e-01,  2.183357439935e-02,  4.495992817213e+01,  1.860171705484e-01
  4.194999933243e-01,  3.255287185311e-02,  4.494920887468e+01,  2.251101881266e-01
  4.219999909401e-01,  4.421058669686e-02,  4.493755115983e+01,  2.560855448246e-01
  4.239999949932e-01,  5.545631423593e-02,  4.492630543229e+01,  2.744266092777e-01
  4.259999990463e-01,  6.851784139872e-02,  4.491324390513e+01,  2.853366434574e-01
  4.274999946356e-01,  7.948891073465e-02,  4.490227283580e+01,  2.888194620609e-01
  4.289999902248e-01,  9.151283651590e-02,  4.489024891001e+01,  2.889073193073e-01
  4.305000007153e-01,  1.045438423753e-01,  4.487721790416e+01,  2.869694530964e-01
  4.319999963045e-01,  1.185819283128e-01,  4.486317981822e+01,  2.842648327351e-01
  4.334999918938e-01,  1.336270868778e-01,  4.484813465965e+01,  2.810910046101e-01
  4.344999939203e-01,  1.441556513309e-01,  4.483760609520e+01,  2.787945568562e-01
  4.354999959469e-01,  1.551419794559e-01,  4.482661976707e+01,  2.764904797077e-01
  4.364999979734e-01,  1.665250360966e-01,  4.481523671043e+01,  2.742779552937e-01
  4.375000000000e-01,  1.783353388309e-01,  4.480342640770e+01,  2.721798717976e-01
  4.385000020266e-01,  1.905423700809e-01,  4.479121937645e+01,  2.701580822468e-01
  4.395000040531e-01,  2.031766474247e-01,  4.477858509911e+01,  2.681973278522e-01
  4.404999911785e-01,  2.162076532841e-01,  4.476555409325e+01,  2.662709057331e-01
  4.414999932051e-01,  2.296353876591e-01,  4.475212635887e+01,  2.644169628620e-01
  4.424999952316e-01,  2.434598505497e-01,  4.473830189598e+01,  2.628071606159e-01
  4.434999972582e-01,  2.576810419559e-01,  4.472408070457e+01,  2.616513073444e-01
  4.444999992847e-01,  2.723294794559e-01,  4.470943226707e+01,  2.610142529011e-01
  4.455000013113e-01,  2.873136103153e-01,  4.469444813622e+01,  2.607415020466e-01
  4.465000033379e-01,  3.026944696903e-01,  4.467906727684e+01,  2.605841457844e-01
  4.474999904633e-01,  3.184415400028e-01,  4.466332020653e+01,  2.603605091572e-01
  4.484999924898e-01,  3.346158564091e-01,  4.464714589012e+01,  2.599933445454e-01
  4.494999945164e-01,  3.511563837528e-01,  4.463060536278e+01,  2.594459354877e-01
  4.504999965429e-01,  3.680631220341e-01,  4.461369862450e+01,  2.586849033833e-01
  4.514999985695e-01,  3.853360712528e-01,  4.459642567528e+01,  2.576320469379e-01
  4.525000005960e-01,  4.029752314091e-01,  4.457878651512e+01,  2.559612095356e-01
  4.535000026226e-01,  4.209806025028e-01,  4.456078114403e+01,  2.528484165668e-01
  4.545000046492e-01,  4.393521845341e-01,  4.454240956200e+01,  2.472636848688e-01
  4.554999917746e-01,  4.580289423466e-01,  4.452373280418e+01,  2.387187629938e-01
  4.564999938011e-01,  4.770719110966e-01,  4.450468983543e+01,  2.275493294001e-01
  4.574999958277e-01,  4.964200556278e-01,  4.448534169090e+01,  2.144267708063e-01
  4.584999978542e-01,  5.160734057426e-01,  4.446568834079e+01,  1.996562629938e-01
  4.594999998808e-01,  5.359098315239e-01,  4.444585191501e+01,  1.833598762751e-01
  4.599999934435e-01,  5.459195971489e-01,  4.443584214938e+01,  1.746928840876e-01
  4.605000019073e-01,  5.559903979301e-01,  4.442577134860e+01,  1.657207161188e-01
  4.609999954700e-01,  5.661222338676e-01,  4.441563951266e+01,  1.566264778376e-01
  4.615000039339e-01,  5.763151049614e-01,  4.440544664157e+01,  1.474101692438e-01
  4.619999974966e-01,  5.865079760551e-01,  4.439525377048e+01,  1.383159309626e-01
  4.624999910593e-01,  5.967618823051e-01,  4.438499986423e+01,  1.293437629938e-01
  4.629999995232e-01,  6.070768237114e-01,  4.437468492282e+01,  1.206767782569e-01
  4.634999930859e-01,  6.173917651176e-01,  4.436436998141e+01,  1.124370321631e-01
  4.640000015497e-01,  6.277067065239e-01,  4.435405504001e+01,  1.045024618506e-01
  4.644999951124e-01,  6.380826830864e-01,  4.434367906344e+01,  9.705617278814e-02
